Equip 1,Equip 2
Slavia Prague,Union Saint-Gilloise
Athletic,Club Brugge
Benfica,Real Madrid
PSG,Kairat Almaty
Napoli,Olympiacos
BVB,Tottenham
Benfica,Union Saint-Gilloise
PSG,Chelsea
Ajax,Copenhagen
Galatasaray,Manchester City
Newcastle,Eintracht
Olympiacos,Marseille
Bayern,Arsenal
Glimt,Qarabag
Marseille,Kairat Almaty
Juventus,Marseille
Monaco,Sporting CP
Real Madrid,BVB
Pafos,Newcastle
Newcastle,PSV
Kairat Almaty,Ajax
Sporting CP,Manchester City
Monaco,BVB
Napoli,Real Madrid
Newcastle,Monaco
Glimt,Barça
Kairat Almaty,Atlético
Atlético,Chelsea
Arsenal,Monaco
Eintracht,Barça
Manchester City,Real Madrid
Villarreal,Galatasaray
Chelsea,Slavia Prague
Slavia Prague,Monaco
Glimt,Galatasaray
Atlético,Inter
PSV,Leverkusen
Qarabag,PSG
Villarreal,Leverkusen
Juventus,Villarreal
Manchester City,Copenhagen
Eintracht,Napoli
Ajax,Liverpool
Juventus,Newcastle
BVB,Juventus
Qarabag,Liverpool
Benfica,Pafos
Club Brugge,Napoli
Monaco,Inter
Athletic,Napoli
Copenhagen,PSV
Pafos,Eintracht
Union Saint-Gilloise,Villarreal
Villarreal,Sporting CP
PSV,Slavia Prague
Liverpool,Leverkusen
Athletic,Chelsea
Atlético,Club Brugge
Leverkusen,Galatasaray
Barça,Liverpool
Juventus,Eintracht
Olympiacos,Eintracht
Athletic,Qarabag
Galatasaray,Olympiacos
Eintracht,Atlético
Atalanta,Benfica
Chelsea,BVB
Leverkusen,Manchester City
BVB,PSV
Tottenham,Juventus
Pafos,Sporting CP
Monaco,Atalanta
Glimt,Benfica
Union Saint-Gilloise,Monaco
Chelsea,Atalanta
Arsenal,Slavia Prague
Leverkusen,Qarabag
Manchester City,Marseille
Club Brugge,Bayern
Real Madrid,Newcastle
Bayern,Galatasaray
Inter,Bayern
Union Saint-Gilloise,Bayern
Sporting CP,Barça
Arsenal,Athletic
PSV,Glimt
BVB,Athletic
Union Saint-Gilloise,Kairat Almaty
Bayern,Ajax
Pafos,Real Madrid
Manchester City,PSG
Atalanta,Slavia Prague
Atlético,Olympiacos
Ajax,Tottenham
Eintracht,Manchester City
Barça,Pafos
Real Madrid,PSV
Galatasaray,Copenhagen
Slavia Prague,Glimt
Olympiacos,Newcastle
Inter,Liverpool
Benfica,Arsenal
Tottenham,Napoli
Qarabag,Tottenham
Inter,Glimt
Inter,Benfica
Napoli,Pafos
Real Madrid,Juventus
Sporting CP,Arsenal
Liverpool,Union Saint-Gilloise
Arsenal,Atalanta
Qarabag,Atlético
PSV,Villarreal
Marseille,Atlético
Barça,Arsenal
Atalanta,Ajax
Barça,Bayern
Villarreal,PSG
Galatasaray,Pafos
Copenhagen,Barça
Liverpool,Marseille
Olympiacos,Chelsea
Kairat Almaty,Juventus
Slavia Prague,Inter
Club Brugge,Copenhagen
Bayern,Tottenham
Leverkusen,Glimt
Club Brugge,Leverkusen
PSG,Olympiacos
Ajax,Club Brugge
PSG,Club Brugge
Marseille,Sporting CP
Napoli,PSG
Copenhagen,Atalanta
Sporting CP,Ajax
Tottenham,Benfica
Kairat Almaty,Athletic
Liverpool,Villarreal
Newcastle,Inter
Chelsea,Kairat Almaty
Atalanta,BVB
Marseille,Athletic
Copenhagen,Qarabag
Tottenham,Union Saint-Gilloise
