Equip 1,Equip 2
Barça,Slavia Prague
Benfica,Pafos
Sporting CP,PSV
Barça,Newcastle
Monaco,Barça
Monaco,Slavia Prague
BVB,Ajax
Pafos,Inter
Glimt,Union Saint-Gilloise
Chelsea,Marseille
Juventus,Villarreal
Tottenham,Inter
Atalanta,Club Brugge
Club Brugge,Bayern
Athletic,Kairat Almaty
Copenhagen,Tottenham
Monaco,Juventus
Bayern,Glimt
Barça,Juventus
Leverkusen,Qarabag
Olympiacos,Atalanta
PSG,Inter
Leverkusen,Napoli
Newcastle,Copenhagen
Tottenham,PSG
Qarabag,Slavia Prague
Athletic,Club Brugge
Arsenal,Qarabag
Arsenal,Real Madrid
Atalanta,Bayern
Atlético,Liverpool
Club Brugge,Inter
Bayern,Athletic
Kairat Almaty,Eintracht
Napoli,Olympiacos
Marseille,Pafos
PSV,Atlético
Manchester City,Barça
Tottenham,Sporting CP
Villarreal,Marseille
Chelsea,PSG
Olympiacos,Galatasaray
Villarreal,BVB
Liverpool,Marseille
Bayern,PSV
Galatasaray,Chelsea
Arsenal,Olympiacos
Juventus,Sporting CP
Galatasaray,Napoli
BVB,Copenhagen
Liverpool,Union Saint-Gilloise
PSV,Juventus
Union Saint-Gilloise,Galatasaray
Napoli,Ajax
Inter,Liverpool
Inter,Benfica
Ajax,Olympiacos
Galatasaray,Leverkusen
Real Madrid,Atalanta
Kairat Almaty,Olympiacos
Chelsea,Kairat Almaty
Slavia Prague,Club Brugge
Manchester City,Napoli
Slavia Prague,Glimt
Copenhagen,Monaco
Benfica,Marseille
Barça,Leverkusen
PSG,Eintracht
Newcastle,Atalanta
Union Saint-Gilloise,Sporting CP
Napoli,Arsenal
Leverkusen,Tottenham
Club Brugge,Leverkusen
Sporting CP,Manchester City
Eintracht,Atlético
Liverpool,Real Madrid
Athletic,Tottenham
Eintracht,Monaco
Glimt,Barça
Sporting CP,Athletic
Eintracht,Ajax
Real Madrid,Napoli
Glimt,Benfica
Copenhagen,Real Madrid
Atlético,Union Saint-Gilloise
Villarreal,Chelsea
Sporting CP,Club Brugge
Benfica,Arsenal
Qarabag,Liverpool
Real Madrid,Bayern
Marseille,Slavia Prague
Qarabag,Athletic
Slavia Prague,BVB
Bayern,Manchester City
Galatasaray,Arsenal
Newcastle,Villarreal
Benfica,PSG
Inter,Athletic
Athletic,Benfica
Club Brugge,Copenhagen
Leverkusen,Manchester City
Olympiacos,Real Madrid
Atalanta,Tottenham
Manchester City,Atlético
Juventus,Chelsea
Arsenal,Juventus
Glimt,Pafos
Eintracht,Glimt
BVB,Arsenal
Kairat Almaty,Manchester City
Manchester City,Union Saint-Gilloise
PSV,Newcastle
Atlético,Ajax
Copenhagen,Atlético
Monaco,Galatasaray
Union Saint-Gilloise,Villarreal
Atalanta,Eintracht
Union Saint-Gilloise,Qarabag
Napoli,Monaco
PSV,Copenhagen
Juventus,Pafos
BVB,Barça
Inter,PSV
Olympiacos,Chelsea
Pafos,Newcastle
Pafos,Kairat Almaty
Qarabag,PSG
Ajax,Liverpool
Atlético,Leverkusen
Slavia Prague,Villarreal
Marseille,Qarabag
Marseille,Glimt
Villarreal,Benfica
Ajax,Kairat Almaty
Kairat Almaty,Atalanta
Tottenham,PSV
Pafos,BVB
Liverpool,Eintracht
Real Madrid,Monaco
Newcastle,Bayern
Ajax,Newcastle
Chelsea,BVB
PSG,Galatasaray
PSG,Sporting CP
