Equip 1,Equip 2
Barça,Kairat Almaty
Juventus,Athletic
Leverkusen,Inter
Olympiacos,PSV
Villarreal,Galatasaray
Galatasaray,Athletic
Newcastle,Qarabag
Manchester City,Benfica
Newcastle,Real Madrid
Olympiacos,Atalanta
Club Brugge,Juventus
PSG,Newcastle
Benfica,Monaco
Glimt,Tottenham
Newcastle,Slavia Prague
Atlético,Sporting CP
Liverpool,Eintracht
Inter,Arsenal
Union Saint-Gilloise,Qarabag
Olympiacos,Juventus
Inter,Tottenham
Real Madrid,Inter
Copenhagen,Newcastle
Inter,Athletic
Monaco,Kairat Almaty
Pafos,Villarreal
Union Saint-Gilloise,Inter
Copenhagen,Olympiacos
Galatasaray,Chelsea
Athletic,Pafos
Real Madrid,Juventus
Chelsea,Pafos
Arsenal,Real Madrid
Villarreal,Arsenal
Slavia Prague,Athletic
Kairat Almaty,Liverpool
Club Brugge,Bayern
BVB,Manchester City
Barça,Olympiacos
Kairat Almaty,Copenhagen
Leverkusen,Galatasaray
PSG,Atalanta
Pafos,Eintracht
BVB,PSV
Manchester City,Union Saint-Gilloise
Ajax,Kairat Almaty
Galatasaray,Tottenham
Manchester City,Barça
Atalanta,Benfica
Juventus,Glimt
Atalanta,Newcastle
Atlético,Monaco
Chelsea,Villarreal
Atlético,Club Brugge
Tottenham,Club Brugge
Athletic,Club Brugge
Ajax,Atlético
Marseille,Sporting CP
Athletic,Glimt
Marseille,BVB
PSV,Napoli
Athletic,Liverpool
Villarreal,Napoli
Qarabag,Manchester City
Bayern,Galatasaray
Sporting CP,Copenhagen
Slavia Prague,Inter
Monaco,BVB
PSV,Liverpool
Juventus,Union Saint-Gilloise
Copenhagen,Atalanta
Ajax,Slavia Prague
Union Saint-Gilloise,Marseille
Pafos,BVB
Copenhagen,Atlético
BVB,Chelsea
Barça,Eintracht
Napoli,Manchester City
Slavia Prague,Marseille
PSG,Olympiacos
Kairat Almaty,Arsenal
Bayern,Ajax
Qarabag,PSV
PSV,Kairat Almaty
Chelsea,Bayern
Benfica,PSV
BVB,Atalanta
Slavia Prague,Arsenal
Eintracht,Qarabag
Chelsea,Atlético
Liverpool,Bayern
Glimt,Chelsea
Olympiacos,Sporting CP
Tottenham,PSG
Eintracht,Juventus
Barça,Leverkusen
Arsenal,Marseille
Newcastle,Benfica
Napoli,Newcastle
Bayern,Copenhagen
Qarabag,Olympiacos
Inter,PSG
Real Madrid,Copenhagen
Manchester City,Atlético
Eintracht,Tottenham
Tottenham,Pafos
Napoli,Glimt
Glimt,Union Saint-Gilloise
Union Saint-Gilloise,Monaco
Pafos,Marseille
Sporting CP,Chelsea
Leverkusen,Ajax
Sporting CP,Villarreal
Arsenal,Leverkusen
Glimt,Barça
Ajax,Real Madrid
Tottenham,Ajax
Liverpool,Sporting CP
Leverkusen,Napoli
Bayern,Napoli
Qarabag,PSG
Atlético,Leverkusen
Juventus,Liverpool
Marseille,Manchester City
Club Brugge,Qarabag
Kairat Almaty,Leverkusen
Benfica,Glimt
Club Brugge,BVB
Marseille,Eintracht
Napoli,Monaco
Galatasaray,Pafos
Real Madrid,Slavia Prague
Eintracht,Benfica
Atalanta,Villarreal
Monaco,Ajax
Sporting CP,Galatasaray
Benfica,PSG
Monaco,Barça
PSG,Real Madrid
PSV,Club Brugge
Villarreal,Bayern
Atalanta,Slavia Prague
Liverpool,Barça
Arsenal,Union Saint-Gilloise
