Equip 1,Equip 2
Copenhagen,Juventus
Olympiacos,Galatasaray
Monaco,Union Saint-Gilloise
Juventus,Glimt
Manchester City,Barça
Atalanta,Union Saint-Gilloise
Benfica,Napoli
Athletic,Glimt
Club Brugge,BVB
Barça,Inter
Arsenal,Slavia Prague
Chelsea,Monaco
Club Brugge,Barça
Tottenham,PSV
Arsenal,Monaco
Tottenham,Union Saint-Gilloise
Olympiacos,Atalanta
Copenhagen,Newcastle
Club Brugge,Qarabag
PSG,Chelsea
Kairat Almaty,Leverkusen
Napoli,PSG
BVB,Slavia Prague
Bayern,Ajax
Newcastle,Bayern
Benfica,Marseille
Monaco,Athletic
Atlético,Newcastle
Chelsea,Pafos
Sporting CP,Atlético
Pafos,Kairat Almaty
Atlético,Slavia Prague
Bayern,Manchester City
Liverpool,Real Madrid
Slavia Prague,Chelsea
PSV,Marseille
Real Madrid,Pafos
PSG,Olympiacos
Athletic,Tottenham
Ajax,Monaco
Real Madrid,Chelsea
Sporting CP,Leverkusen
BVB,Liverpool
Glimt,Arsenal
Eintracht,Copenhagen
BVB,Athletic
Copenhagen,Athletic
Barça,Napoli
Chelsea,Sporting CP
Manchester City,Galatasaray
Sporting CP,Qarabag
Leverkusen,Arsenal
Leverkusen,Juventus
BVB,Tottenham
PSV,Real Madrid
Club Brugge,Eintracht
Leverkusen,Newcastle
Glimt,Real Madrid
Marseille,Eintracht
Kairat Almaty,Atalanta
Marseille,Ajax
Newcastle,Pafos
Liverpool,Kairat Almaty
Galatasaray,Liverpool
PSG,BVB
Bayern,Atlético
Sporting CP,Liverpool
Atalanta,Manchester City
Newcastle,Napoli
PSG,Leverkusen
Qarabag,Galatasaray
Pafos,Atlético
Glimt,Sporting CP
Qarabag,PSV
Copenhagen,Real Madrid
Atalanta,PSV
Marseille,Copenhagen
Glimt,Copenhagen
Union Saint-Gilloise,BVB
Arsenal,PSG
Arsenal,Barça
Manchester City,Ajax
Villarreal,Bayern
Tottenham,Club Brugge
Barça,Qarabag
Union Saint-Gilloise,Arsenal
Real Madrid,Atalanta
Atalanta,Arsenal
Eintracht,Benfica
Chelsea,Eintracht
Tottenham,Napoli
Galatasaray,Juventus
Napoli,Sporting CP
Monaco,Villarreal
Olympiacos,Bayern
Qarabag,Benfica
Manchester City,Juventus
Atlético,Atalanta
PSV,Barça
Liverpool,Atlético
Leverkusen,PSV
Villarreal,Ajax
Juventus,Liverpool
Napoli,Monaco
Kairat Almaty,Manchester City
Slavia Prague,Glimt
Ajax,Olympiacos
PSV,Kairat Almaty
Barça,Union Saint-Gilloise
Inter,Bayern
Kairat Almaty,Slavia Prague
Atlético,Club Brugge
Slavia Prague,Olympiacos
Union Saint-Gilloise,Qarabag
Napoli,Club Brugge
Slavia Prague,Galatasaray
Union Saint-Gilloise,Sporting CP
Pafos,Club Brugge
Galatasaray,Villarreal
Villarreal,Tottenham
Galatasaray,Kairat Almaty
Benfica,Villarreal
Ajax,Eintracht
Villarreal,BVB
Bayern,Copenhagen
Athletic,PSG
Inter,Glimt
Inter,Tottenham
Juventus,Olympiacos
Marseille,Manchester City
Liverpool,Marseille
Juventus,Villarreal
Pafos,Marseille
Real Madrid,Leverkusen
Eintracht,Athletic
Inter,Benfica
Newcastle,Inter
Qarabag,PSG
Monaco,Inter
Benfica,Chelsea
Athletic,Benfica
Olympiacos,Pafos
Ajax,Newcastle
Eintracht,Inter
