Equip 1,Equip 2
Galatasaray,Leverkusen
Newcastle,Marseille
Benfica,Napoli
Napoli,Manchester City
Barça,Leverkusen
Liverpool,Eintracht
Manchester City,Qarabag
Leverkusen,Arsenal
Monaco,Bayern
Bayern,Club Brugge
PSV,Atalanta
Qarabag,Liverpool
Chelsea,Real Madrid
Olympiacos,Leverkusen
Union Saint-Gilloise,Slavia Prague
Napoli,Olympiacos
Barça,Napoli
Slavia Prague,Olympiacos
Athletic,Glimt
Liverpool,Slavia Prague
Club Brugge,Tottenham
Newcastle,Pafos
Copenhagen,Qarabag
Marseille,Arsenal
Villarreal,Benfica
Bayern,Manchester City
Sporting CP,Tottenham
Real Madrid,Atalanta
Atalanta,Barça
Real Madrid,Marseille
PSV,Real Madrid
PSG,Olympiacos
Kairat Almaty,Glimt
Copenhagen,Union Saint-Gilloise
Pafos,Inter
Athletic,Inter
Kairat Almaty,Athletic
Galatasaray,Pafos
Marseille,Slavia Prague
Union Saint-Gilloise,BVB
Chelsea,Club Brugge
Real Madrid,Bayern
Inter,Liverpool
Ajax,Juventus
Qarabag,Juventus
Liverpool,Union Saint-Gilloise
Arsenal,PSV
Eintracht,Inter
Ajax,Benfica
Galatasaray,Real Madrid
Slavia Prague,Villarreal
Arsenal,Atalanta
Manchester City,Slavia Prague
PSG,Atlético
Arsenal,PSG
Qarabag,Ajax
Slavia Prague,Club Brugge
Eintracht,Olympiacos
Pafos,Benfica
Kairat Almaty,PSG
Athletic,Arsenal
Atalanta,Newcastle
Olympiacos,Kairat Almaty
Ajax,Pafos
Bayern,Tottenham
Villarreal,Monaco
Barça,PSG
Villarreal,Chelsea
Athletic,BVB
Napoli,Villarreal
Tottenham,Copenhagen
Sporting CP,Qarabag
Pafos,PSV
Copenhagen,Barça
Tottenham,Ajax
Sporting CP,Liverpool
BVB,Ajax
PSV,Barça
Newcastle,Galatasaray
PSG,Galatasaray
Leverkusen,Manchester City
Tottenham,Athletic
Qarabag,Athletic
Real Madrid,Newcastle
Barça,Newcastle
Atalanta,Eintracht
Monaco,Sporting CP
Olympiacos,Copenhagen
Union Saint-Gilloise,Monaco
Kairat Almaty,Monaco
Inter,Glimt
Benfica,Eintracht
Chelsea,Kairat Almaty
Olympiacos,Chelsea
Inter,Tottenham
PSG,Sporting CP
Marseille,Bayern
Ajax,Chelsea
Glimt,Atalanta
Manchester City,Barça
Galatasaray,Atlético
Club Brugge,Juventus
Arsenal,Kairat Almaty
Juventus,Pafos
Villarreal,Qarabag
Club Brugge,Copenhagen
Juventus,Liverpool
Eintracht,Union Saint-Gilloise
Union Saint-Gilloise,PSV
Benfica,Newcastle
Eintracht,Copenhagen
Copenhagen,Chelsea
Inter,BVB
Leverkusen,Villarreal
Manchester City,Villarreal
Newcastle,Napoli
Atlético,Marseille
Bayern,Benfica
Atlético,Club Brugge
PSV,Marseille
Liverpool,PSG
BVB,Arsenal
Marseille,Galatasaray
Glimt,Sporting CP
Atlético,Union Saint-Gilloise
Pafos,Bayern
BVB,Atlético
Leverkusen,Kairat Almaty
Tottenham,Juventus
Juventus,Atlético
Atalanta,Monaco
Monaco,Napoli
Glimt,Ajax
Atlético,Sporting CP
Napoli,PSV
Club Brugge,Athletic
Benfica,Inter
Sporting CP,Leverkusen
Juventus,Real Madrid
BVB,Glimt
Monaco,Manchester City
Chelsea,BVB
Glimt,Eintracht
Slavia Prague,Galatasaray
