Equip 1,Equip 2
Galatasaray,Union Saint-Gilloise
Arsenal,Club Brugge
Manchester City,Atlético
PSV,Monaco
Pafos,Newcastle
Eintracht,Benfica
Arsenal,Copenhagen
Union Saint-Gilloise,Bayern
BVB,Athletic
Marseille,Galatasaray
Marseille,Atalanta
Marseille,Club Brugge
Club Brugge,Qarabag
Real Madrid,Liverpool
Slavia Prague,Sporting CP
PSG,BVB
Real Madrid,Eintracht
Manchester City,Villarreal
Glimt,Real Madrid
Athletic,PSG
Villarreal,Galatasaray
Leverkusen,Benfica
Ajax,Monaco
Benfica,Pafos
Chelsea,Sporting CP
Juventus,Union Saint-Gilloise
Monaco,Chelsea
Union Saint-Gilloise,Qarabag
Olympiacos,Manchester City
Olympiacos,Eintracht
Olympiacos,Qarabag
Slavia Prague,Galatasaray
PSV,Liverpool
Ajax,Villarreal
Galatasaray,Copenhagen
BVB,Arsenal
Inter,Barça
Inter,Newcastle
PSG,Napoli
Tottenham,Benfica
Monaco,BVB
Union Saint-Gilloise,Glimt
Galatasaray,Manchester City
Qarabag,Bayern
Atalanta,Athletic
Copenhagen,Real Madrid
Atlético,Napoli
Villarreal,Sporting CP
Juventus,Atlético
Bayern,Slavia Prague
Qarabag,Manchester City
Galatasaray,Chelsea
Monaco,Kairat Almaty
Tottenham,Napoli
Slavia Prague,Leverkusen
Villarreal,Qarabag
PSV,Benfica
Atalanta,Club Brugge
Atalanta,PSV
Ajax,Olympiacos
BVB,Manchester City
PSV,Copenhagen
Liverpool,Villarreal
Barça,Chelsea
Real Madrid,Bayern
PSG,Tottenham
Juventus,Kairat Almaty
Bayern,Chelsea
Inter,Leverkusen
Glimt,Juventus
Eintracht,Glimt
Chelsea,Atalanta
Monaco,Eintracht
Atlético,Tottenham
Ajax,Slavia Prague
Tottenham,Real Madrid
Benfica,Real Madrid
Marseille,Glimt
Eintracht,Inter
Inter,Ajax
Napoli,Arsenal
Chelsea,Olympiacos
Newcastle,Eintracht
Athletic,Ajax
Newcastle,Athletic
Olympiacos,Napoli
Athletic,Kairat Almaty
Juventus,Bayern
Liverpool,Juventus
Copenhagen,Liverpool
Qarabag,Pafos
Manchester City,Inter
Barça,Marseille
Tottenham,Marseille
Benfica,PSG
Napoli,BVB
Newcastle,Leverkusen
Copenhagen,Monaco
Glimt,Newcastle
BVB,Glimt
Slavia Prague,Pafos
Club Brugge,BVB
Kairat Almaty,Inter
Atlético,Monaco
Benfica,Athletic
Napoli,Pafos
Barça,Atalanta
Atalanta,Arsenal
Qarabag,Sporting CP
Athletic,Marseille
Arsenal,Union Saint-Gilloise
Kairat Almaty,Tottenham
Club Brugge,Ajax
Kairat Almaty,Olympiacos
Sporting CP,Newcastle
Leverkusen,Barça
Liverpool,PSG
Real Madrid,Kairat Almaty
Villarreal,Juventus
Bayern,Ajax
Union Saint-Gilloise,Tottenham
Glimt,PSV
Pafos,Barça
Bayern,Arsenal
PSG,Union Saint-Gilloise
Eintracht,Atlético
Sporting CP,Inter
Pafos,Liverpool
Barça,Slavia Prague
Leverkusen,Villarreal
Atlético,PSG
Chelsea,Club Brugge
Napoli,Copenhagen
Sporting CP,PSV
Leverkusen,Olympiacos
Club Brugge,Galatasaray
Arsenal,Slavia Prague
Copenhagen,Atlético
Kairat Almaty,Leverkusen
Liverpool,Marseille
Pafos,Atalanta
Sporting CP,Juventus
Newcastle,Barça
Manchester City,PSV
