Equip 1,Equip 2,Jornada
Slavia Prague,Union Saint-Gilloise,5.0
Athletic,Club Brugge,8.0
Benfica,Real Madrid,7.0
PSG,Kairat Almaty,6.0
Napoli,Olympiacos,4.0
BVB,Tottenham,2.0
Benfica,Union Saint-Gilloise,2.0
PSG,Chelsea,2.0
Ajax,Copenhagen,8.0
Galatasaray,Manchester City,5.0
Newcastle,Eintracht,5.0
Olympiacos,Marseille,6.0
Bayern,Arsenal,3.0
Glimt,Qarabag,5.0
Marseille,Kairat Almaty,2.0
Juventus,Marseille,3.0
Monaco,Sporting CP,4.0
Real Madrid,BVB,6.0
Pafos,Newcastle,1.0
Newcastle,PSV,6.0
Kairat Almaty,Ajax,5.0
Sporting CP,Manchester City,7.0
Monaco,BVB,3.0
Napoli,Real Madrid,5.0
Newcastle,Monaco,7.0
Glimt,Barça,1.0
Kairat Almaty,Atlético,8.0
Atlético,Chelsea,7.0
Arsenal,Monaco,5.0
Eintracht,Barça,3.0
Manchester City,Real Madrid,4.0
Villarreal,Galatasaray,3.0
Chelsea,Slavia Prague,4.0
Slavia Prague,Monaco,6.0
Glimt,Galatasaray,8.0
Atlético,Inter,6.0
PSV,Leverkusen,8.0
Qarabag,PSG,4.0
Villarreal,Leverkusen,2.0
Juventus,Villarreal,6.0
Manchester City,Copenhagen,2.0
Eintracht,Napoli,1.0
Ajax,Liverpool,4.0
Juventus,Newcastle,2.0
BVB,Juventus,8.0
Qarabag,Liverpool,6.0
Benfica,Pafos,4.0
Club Brugge,Napoli,7.0
Monaco,Inter,2.0
Athletic,Napoli,6.0
Copenhagen,PSV,1.0
Pafos,Eintracht,8.0
Union Saint-Gilloise,Villarreal,4.0
Villarreal,Sporting CP,8.0
PSV,Slavia Prague,3.0
Liverpool,Leverkusen,5.0
Athletic,Chelsea,3.0
Atlético,Club Brugge,5.0
Leverkusen,Galatasaray,7.0
Barça,Liverpool,2.0
Juventus,Eintracht,4.0
Olympiacos,Eintracht,7.0
Athletic,Qarabag,2.0
Galatasaray,Olympiacos,2.0
Eintracht,Atlético,2.0
Atalanta,Benfica,5.0
Chelsea,BVB,5.0
Leverkusen,Manchester City,3.0
BVB,PSV,7.0
Tottenham,Juventus,5.0
Pafos,Sporting CP,5.0
Monaco,Atalanta,8.0
Glimt,Benfica,3.0
Union Saint-Gilloise,Monaco,1.0
Chelsea,Atalanta,6.0
Arsenal,Slavia Prague,8.0
Leverkusen,Qarabag,1.0
Manchester City,Marseille,8.0
Club Brugge,Bayern,2.0
Real Madrid,Newcastle,8.0
Bayern,Galatasaray,1.0
Inter,Bayern,5.0
Union Saint-Gilloise,Bayern,7.0
Sporting CP,Barça,6.0
Arsenal,Athletic,7.0
PSV,Glimt,4.0
BVB,Athletic,1.0
Union Saint-Gilloise,Kairat Almaty,3.0
Bayern,Ajax,6.0
Pafos,Real Madrid,3.0
Manchester City,PSG,1.0
Atalanta,Slavia Prague,7.0
Atlético,Olympiacos,1.0
Ajax,Tottenham,7.0
Eintracht,Manchester City,6.0
Barça,Pafos,7.0
Real Madrid,PSV,2.0
Galatasaray,Copenhagen,4.0
Slavia Prague,Glimt,2.0
Olympiacos,Newcastle,3.0
Inter,Liverpool,3.0
Benfica,Arsenal,6.0
Tottenham,Napoli,3.0
Qarabag,Tottenham,8.0
Inter,Glimt,7.0
Inter,Benfica,8.0
Napoli,Pafos,2.0
Real Madrid,Juventus,1.0
Sporting CP,Arsenal,2.0
Liverpool,Union Saint-Gilloise,8.0
Arsenal,Atalanta,1.0
Qarabag,Atlético,3.0
PSV,Villarreal,5.0
Marseille,Atlético,4.0
Barça,Arsenal,4.0
Atalanta,Ajax,2.0
Barça,Bayern,8.0
Villarreal,PSG,7.0
Galatasaray,Pafos,6.0
Copenhagen,Barça,5.0
Liverpool,Marseille,7.0
Olympiacos,Chelsea,8.0
Kairat Almaty,Juventus,7.0
Slavia Prague,Inter,1.0
Club Brugge,Copenhagen,6.0
Bayern,Tottenham,4.0
Leverkusen,Glimt,6.0
Club Brugge,Leverkusen,4.0
PSG,Olympiacos,5.0
Ajax,Club Brugge,1.0
PSG,Club Brugge,3.0
Marseille,Sporting CP,1.0
Napoli,PSG,8.0
Copenhagen,Atalanta,3.0
Sporting CP,Ajax,3.0
Tottenham,Benfica,1.0
Kairat Almaty,Athletic,4.0
Liverpool,Villarreal,1.0
Newcastle,Inter,4.0
Chelsea,Kairat Almaty,1.0
Atalanta,BVB,4.0
Marseille,Athletic,5.0
Copenhagen,Qarabag,7.0
Tottenham,Union Saint-Gilloise,6.0
