Equip 1,Equip 2,Jornada
Barça,Slavia Prague,6.0
Benfica,Pafos,1.0
Sporting CP,PSV,7.0
Barça,Newcastle,7.0
Monaco,Barça,5.0
Monaco,Slavia Prague,7.0
BVB,Ajax,3.0
Pafos,Inter,8.0
Glimt,Union Saint-Gilloise,7.0
Chelsea,Marseille,8.0
Juventus,Villarreal,7.0
Tottenham,Inter,2.0
Atalanta,Club Brugge,8.0
Club Brugge,Bayern,2.0
Athletic,Kairat Almaty,8.0
Copenhagen,Tottenham,7.0
Monaco,Juventus,1.0
Bayern,Glimt,1.0
Barça,Juventus,2.0
Leverkusen,Qarabag,4.0
Olympiacos,Atalanta,3.0
PSG,Inter,7.0
Leverkusen,Napoli,6.0
Newcastle,Copenhagen,3.0
Tottenham,PSG,8.0
Qarabag,Slavia Prague,8.0
Athletic,Club Brugge,1.0
Arsenal,Qarabag,7.0
Arsenal,Real Madrid,1.0
Atalanta,Bayern,4.0
Atlético,Liverpool,5.0
Club Brugge,Inter,6.0
Bayern,Athletic,3.0
Kairat Almaty,Eintracht,6.0
Napoli,Olympiacos,4.0
Marseille,Pafos,7.0
PSV,Atlético,1.0
Manchester City,Barça,3.0
Tottenham,Sporting CP,1.0
Villarreal,Marseille,3.0
Chelsea,PSG,1.0
Olympiacos,Galatasaray,7.0
Villarreal,BVB,4.0
Liverpool,Marseille,6.0
Bayern,PSV,6.0
Galatasaray,Chelsea,6.0
Arsenal,Olympiacos,2.0
Juventus,Sporting CP,3.0
Galatasaray,Napoli,1.0
BVB,Copenhagen,1.0
Liverpool,Union Saint-Gilloise,4.0
PSV,Juventus,5.0
Union Saint-Gilloise,Galatasaray,2.0
Napoli,Ajax,5.0
Inter,Liverpool,1.0
Inter,Benfica,3.0
Ajax,Olympiacos,8.0
Galatasaray,Leverkusen,3.0
Real Madrid,Atalanta,2.0
Kairat Almaty,Olympiacos,1.0
Chelsea,Kairat Almaty,3.0
Slavia Prague,Club Brugge,3.0
Manchester City,Napoli,8.0
Slavia Prague,Glimt,2.0
Copenhagen,Monaco,6.0
Benfica,Marseille,2.0
Barça,Leverkusen,1.0
PSG,Eintracht,3.0
Newcastle,Atalanta,1.0
Union Saint-Gilloise,Sporting CP,8.0
Napoli,Arsenal,3.0
Leverkusen,Tottenham,5.0
Club Brugge,Leverkusen,7.0
Sporting CP,Manchester City,5.0
Eintracht,Atlético,7.0
Liverpool,Real Madrid,8.0
Athletic,Tottenham,4.0
Eintracht,Monaco,4.0
Glimt,Barça,4.0
Sporting CP,Athletic,2.0
Eintracht,Ajax,1.0
Real Madrid,Napoli,7.0
Glimt,Benfica,6.0
Copenhagen,Real Madrid,4.0
Atlético,Union Saint-Gilloise,3.0
Villarreal,Chelsea,2.0
Sporting CP,Club Brugge,4.0
Benfica,Arsenal,4.0
Qarabag,Liverpool,3.0
Real Madrid,Bayern,5.0
Marseille,Slavia Prague,4.0
Qarabag,Athletic,6.0
Slavia Prague,BVB,5.0
Bayern,Manchester City,7.0
Galatasaray,Arsenal,5.0
Newcastle,Villarreal,5.0
Benfica,PSG,5.0
Inter,Athletic,5.0
Athletic,Benfica,7.0
Club Brugge,Copenhagen,5.0
Leverkusen,Manchester City,2.0
Olympiacos,Real Madrid,6.0
Atalanta,Tottenham,6.0
Manchester City,Atlético,6.0
Juventus,Chelsea,4.0
Arsenal,Juventus,8.0
Glimt,Pafos,3.0
Eintracht,Glimt,8.0
BVB,Arsenal,6.0
Kairat Almaty,Manchester City,4.0
Manchester City,Union Saint-Gilloise,1.0
PSV,Newcastle,2.0
Atlético,Ajax,4.0
Copenhagen,Atlético,2.0
Monaco,Galatasaray,8.0
Union Saint-Gilloise,Villarreal,6.0
Atalanta,Eintracht,5.0
Union Saint-Gilloise,Qarabag,5.0
Napoli,Monaco,2.0
PSV,Copenhagen,8.0
Juventus,Pafos,6.0
BVB,Barça,8.0
Inter,PSV,4.0
Olympiacos,Chelsea,5.0
Pafos,Newcastle,4.0
Pafos,Kairat Almaty,5.0
Qarabag,PSG,2.0
Ajax,Liverpool,7.0
Atlético,Leverkusen,8.0
Slavia Prague,Villarreal,1.0
Marseille,Qarabag,1.0
Marseille,Glimt,5.0
Villarreal,Benfica,8.0
Ajax,Kairat Almaty,2.0
Kairat Almaty,Atalanta,7.0
Tottenham,PSV,3.0
Pafos,BVB,2.0
Liverpool,Eintracht,2.0
Real Madrid,Monaco,3.0
Newcastle,Bayern,8.0
Ajax,Newcastle,6.0
Chelsea,BVB,7.0
PSG,Galatasaray,4.0
PSG,Sporting CP,6.0
