Equip 1,Equip 2,Jornada
Kairat Almaty,Glimt,6.0
Atalanta,Liverpool,7.0
Pafos,Chelsea,3.0
Marseille,Athletic,6.0
Juventus,Galatasaray,2.0
Glimt,Tottenham,2.0
Olympiacos,BVB,2.0
Olympiacos,Arsenal,1.0
Qarabag,Real Madrid,2.0
Kairat Almaty,Qarabag,8.0
PSV,Chelsea,7.0
Liverpool,Eintracht,8.0
Pafos,Marseille,2.0
BVB,Chelsea,5.0
Bayern,Atlético,2.0
Athletic,Galatasaray,7.0
Barça,Olympiacos,6.0
Glimt,PSV,8.0
Villarreal,Copenhagen,8.0
Marseille,Bayern,4.0
Manchester City,Galatasaray,1.0
BVB,Manchester City,8.0
Slavia Prague,Leverkusen,2.0
Atalanta,Manchester City,4.0
Manchester City,Juventus,7.0
Tottenham,Slavia Prague,8.0
Athletic,BVB,1.0
Newcastle,Olympiacos,4.0
Juventus,Marseille,8.0
Monaco,Olympiacos,5.0
Villarreal,Eintracht,2.0
Union Saint-Gilloise,Barça,8.0
Atalanta,Ajax,1.0
Bayern,Manchester City,6.0
PSV,Liverpool,2.0
PSG,Slavia Prague,7.0
Liverpool,Kairat Almaty,5.0
Barça,Inter,3.0
Monaco,Arsenal,3.0
Arsenal,Leverkusen,4.0
BVB,Juventus,6.0
Tottenham,Real Madrid,4.0
Inter,Benfica,2.0
Bayern,Arsenal,7.0
Napoli,Pafos,1.0
Galatasaray,Sporting CP,6.0
Benfica,Atlético,4.0
Barça,Eintracht,7.0
Leverkusen,Qarabag,3.0
Atlético,Arsenal,6.0
Arsenal,PSG,2.0
Glimt,Benfica,1.0
Manchester City,Athletic,3.0
Kairat Almaty,Monaco,7.0
Qarabag,Tottenham,7.0
Leverkusen,Napoli,5.0
Sporting CP,Villarreal,7.0
Leverkusen,Pafos,8.0
Union Saint-Gilloise,Qarabag,6.0
Copenhagen,Liverpool,3.0
Newcastle,Inter,6.0
PSG,Newcastle,1.0
Olympiacos,Atlético,8.0
Ajax,Slavia Prague,4.0
Union Saint-Gilloise,BVB,7.0
Eintracht,Copenhagen,6.0
Galatasaray,Atlético,3.0
Slavia Prague,Bayern,3.0
Ajax,Liverpool,6.0
Leverkusen,Real Madrid,6.0
Copenhagen,Barça,2.0
Qarabag,PSV,1.0
Bayern,Kairat Almaty,1.0
Real Madrid,Benfica,7.0
Club Brugge,Leverkusen,7.0
Monaco,Slavia Prague,1.0
Club Brugge,Tottenham,6.0
Benfica,Atalanta,8.0
Slavia Prague,Villarreal,6.0
Juventus,Club Brugge,1.0
Eintracht,Atalanta,3.0
Glimt,Juventus,3.0
Newcastle,Pafos,7.0
Atlético,Chelsea,1.0
Real Madrid,Monaco,8.0
Galatasaray,Newcastle,8.0
Napoli,Newcastle,2.0
Pafos,Bayern,5.0
Atalanta,Pafos,6.0
PSG,Club Brugge,5.0
Olympiacos,Marseille,7.0
Napoli,PSG,6.0
Juventus,Villarreal,5.0
Atlético,Napoli,7.0
Ajax,Kairat Almaty,2.0
Galatasaray,Glimt,4.0
Manchester City,Glimt,5.0
Eintracht,Ajax,5.0
Slavia Prague,Athletic,5.0
Ajax,Copenhagen,7.0
Club Brugge,Athletic,8.0
Arsenal,Union Saint-Gilloise,5.0
Inter,Ajax,8.0
PSV,Napoli,4.0
Villarreal,BVB,4.0
Sporting CP,Manchester City,2.0
Real Madrid,PSG,3.0
Real Madrid,Sporting CP,5.0
Tottenham,Union Saint-Gilloise,3.0
Sporting CP,Union Saint-Gilloise,4.0
Villarreal,Inter,1.0
Union Saint-Gilloise,Atalanta,2.0
Liverpool,Barça,4.0
Chelsea,Napoli,8.0
Inter,Glimt,7.0
Inter,Galatasaray,5.0
Chelsea,Inter,4.0
Newcastle,Villarreal,3.0
Liverpool,Real Madrid,1.0
Copenhagen,PSV,5.0
Atlético,Qarabag,5.0
Monaco,Club Brugge,4.0
Napoli,Olympiacos,3.0
Sporting CP,Ajax,3.0
Eintracht,Tottenham,1.0
Pafos,Copenhagen,4.0
Benfica,Kairat Almaty,3.0
PSV,Benfica,6.0
Arsenal,Sporting CP,8.0
PSG,Bayern,8.0
Qarabag,PSG,4.0
BVB,Marseille,3.0
Marseille,Atalanta,5.0
Chelsea,Club Brugge,2.0
Athletic,Juventus,4.0
Athletic,Monaco,2.0
Marseille,Sporting CP,1.0
Copenhagen,Union Saint-Gilloise,1.0
Benfica,Newcastle,5.0
Tottenham,Barça,5.0
Kairat Almaty,Eintracht,4.0
Barça,Leverkusen,1.0
Club Brugge,PSV,3.0
Chelsea,Monaco,6.0
