Equip 1,Equip 2,Jornada
Barça,Kairat Almaty,7.0
Juventus,Athletic,1.0
Leverkusen,Inter,8.0
Olympiacos,PSV,2.0
Villarreal,Galatasaray,4.0
Galatasaray,Athletic,5.0
Newcastle,Qarabag,7.0
Manchester City,Benfica,2.0
Newcastle,Real Madrid,5.0
Olympiacos,Atalanta,6.0
Club Brugge,Juventus,2.0
PSG,Newcastle,3.0
Benfica,Monaco,6.0
Glimt,Tottenham,1.0
Newcastle,Slavia Prague,6.0
Atlético,Sporting CP,4.0
Liverpool,Eintracht,3.0
Inter,Arsenal,6.0
Union Saint-Gilloise,Qarabag,3.0
Olympiacos,Juventus,3.0
Inter,Tottenham,5.0
Real Madrid,Inter,3.0
Copenhagen,Newcastle,8.0
Inter,Athletic,2.0
Monaco,Kairat Almaty,2.0
Pafos,Villarreal,8.0
Union Saint-Gilloise,Inter,4.0
Copenhagen,Olympiacos,4.0
Galatasaray,Chelsea,7.0
Athletic,Pafos,7.0
Real Madrid,Juventus,8.0
Chelsea,Pafos,4.0
Arsenal,Real Madrid,4.0
Villarreal,Arsenal,7.0
Slavia Prague,Athletic,4.0
Kairat Almaty,Liverpool,1.0
Club Brugge,Bayern,6.0
BVB,Manchester City,1.0
Barça,Olympiacos,5.0
Kairat Almaty,Copenhagen,3.0
Leverkusen,Galatasaray,2.0
PSG,Atalanta,2.0
Pafos,Eintracht,5.0
BVB,PSV,4.0
Manchester City,Union Saint-Gilloise,7.0
Ajax,Kairat Almaty,5.0
Galatasaray,Tottenham,3.0
Manchester City,Barça,3.0
Atalanta,Benfica,7.0
Juventus,Glimt,7.0
Atalanta,Newcastle,4.0
Atlético,Monaco,7.0
Chelsea,Villarreal,2.0
Atlético,Club Brugge,5.0
Tottenham,Club Brugge,4.0
Athletic,Club Brugge,3.0
Ajax,Atlético,2.0
Marseille,Sporting CP,6.0
Athletic,Glimt,8.0
Marseille,BVB,2.0
PSV,Napoli,3.0
Athletic,Liverpool,6.0
Villarreal,Napoli,6.0
Qarabag,Manchester City,6.0
Bayern,Galatasaray,1.0
Sporting CP,Copenhagen,5.0
Slavia Prague,Inter,7.0
Monaco,BVB,5.0
PSV,Liverpool,7.0
Juventus,Union Saint-Gilloise,5.0
Copenhagen,Atalanta,1.0
Ajax,Slavia Prague,8.0
Union Saint-Gilloise,Marseille,8.0
Pafos,BVB,3.0
Copenhagen,Atlético,6.0
BVB,Chelsea,6.0
Barça,Eintracht,1.0
Napoli,Manchester City,5.0
Slavia Prague,Marseille,5.0
PSG,Olympiacos,8.0
Kairat Almaty,Arsenal,8.0
Bayern,Ajax,4.0
Qarabag,PSV,5.0
PSV,Kairat Almaty,6.0
Chelsea,Bayern,8.0
Benfica,PSV,8.0
BVB,Atalanta,8.0
Slavia Prague,Arsenal,1.0
Eintracht,Qarabag,2.0
Chelsea,Atlético,1.0
Liverpool,Bayern,5.0
Glimt,Chelsea,5.0
Olympiacos,Sporting CP,7.0
Tottenham,PSG,7.0
Eintracht,Juventus,6.0
Barça,Leverkusen,6.0
Arsenal,Marseille,3.0
Newcastle,Benfica,1.0
Napoli,Newcastle,2.0
Bayern,Copenhagen,2.0
Qarabag,Olympiacos,1.0
Inter,PSG,1.0
Real Madrid,Copenhagen,7.0
Manchester City,Atlético,8.0
Eintracht,Tottenham,8.0
Tottenham,Pafos,2.0
Napoli,Glimt,4.0
Glimt,Union Saint-Gilloise,6.0
Union Saint-Gilloise,Monaco,1.0
Pafos,Marseille,1.0
Sporting CP,Chelsea,3.0
Leverkusen,Ajax,7.0
Sporting CP,Villarreal,1.0
Arsenal,Leverkusen,5.0
Glimt,Barça,2.0
Ajax,Real Madrid,1.0
Tottenham,Ajax,6.0
Liverpool,Sporting CP,2.0
Leverkusen,Napoli,1.0
Bayern,Napoli,7.0
Qarabag,PSG,4.0
Atlético,Leverkusen,3.0
Juventus,Liverpool,4.0
Marseille,Manchester City,4.0
Club Brugge,Qarabag,8.0
Kairat Almaty,Leverkusen,4.0
Benfica,Glimt,3.0
Club Brugge,BVB,7.0
Marseille,Eintracht,7.0
Napoli,Monaco,8.0
Galatasaray,Pafos,6.0
Real Madrid,Slavia Prague,2.0
Eintracht,Benfica,4.0
Atalanta,Villarreal,5.0
Monaco,Ajax,3.0
Sporting CP,Galatasaray,8.0
Benfica,PSG,5.0
Monaco,Barça,4.0
PSG,Real Madrid,6.0
PSV,Club Brugge,1.0
Villarreal,Bayern,3.0
Atalanta,Slavia Prague,3.0
Liverpool,Barça,8.0
Arsenal,Union Saint-Gilloise,2.0
