Equip 1,Equip 2,Jornada
Copenhagen,Juventus,3.0
Olympiacos,Galatasaray,8.0
Monaco,Union Saint-Gilloise,8.0
Juventus,Glimt,8.0
Manchester City,Barça,2.0
Atalanta,Union Saint-Gilloise,3.0
Benfica,Napoli,3.0
Athletic,Glimt,3.0
Club Brugge,BVB,6.0
Barça,Inter,8.0
Arsenal,Slavia Prague,8.0
Chelsea,Monaco,6.0
Club Brugge,Barça,3.0
Tottenham,PSV,3.0
Arsenal,Monaco,3.0
Tottenham,Union Saint-Gilloise,7.0
Olympiacos,Atalanta,6.0
Copenhagen,Newcastle,2.0
Club Brugge,Qarabag,8.0
PSG,Chelsea,7.0
Kairat Almaty,Leverkusen,6.0
Napoli,PSG,5.0
BVB,Slavia Prague,2.0
Bayern,Ajax,1.0
Newcastle,Bayern,5.0
Benfica,Marseille,8.0
Monaco,Athletic,2.0
Atlético,Newcastle,7.0
Chelsea,Pafos,2.0
Sporting CP,Atlético,5.0
Pafos,Kairat Almaty,4.0
Atlético,Slavia Prague,6.0
Bayern,Manchester City,6.0
Liverpool,Real Madrid,3.0
Slavia Prague,Chelsea,3.0
PSV,Marseille,2.0
Real Madrid,Pafos,1.0
PSG,Olympiacos,3.0
Athletic,Tottenham,6.0
Ajax,Monaco,7.0
Real Madrid,Chelsea,5.0
Sporting CP,Leverkusen,7.0
BVB,Liverpool,8.0
Glimt,Arsenal,4.0
Eintracht,Copenhagen,5.0
BVB,Athletic,7.0
Copenhagen,Athletic,1.0
Barça,Napoli,6.0
Chelsea,Sporting CP,8.0
Manchester City,Galatasaray,4.0
Sporting CP,Qarabag,3.0
Leverkusen,Arsenal,5.0
Leverkusen,Juventus,4.0
BVB,Tottenham,5.0
PSV,Real Madrid,7.0
Club Brugge,Eintracht,2.0
Leverkusen,Newcastle,3.0
Glimt,Real Madrid,2.0
Marseille,Eintracht,7.0
Kairat Almaty,Atalanta,2.0
Marseille,Ajax,6.0
Newcastle,Pafos,6.0
Liverpool,Kairat Almaty,1.0
Galatasaray,Liverpool,7.0
PSG,BVB,4.0
Bayern,Atlético,3.0
Sporting CP,Liverpool,4.0
Atalanta,Manchester City,8.0
Newcastle,Napoli,8.0
PSG,Leverkusen,2.0
Qarabag,Galatasaray,5.0
Pafos,Atlético,8.0
Glimt,Sporting CP,1.0
Qarabag,PSV,6.0
Copenhagen,Real Madrid,6.0
Atalanta,PSV,5.0
Marseille,Copenhagen,4.0
Glimt,Copenhagen,7.0
Union Saint-Gilloise,BVB,1.0
Arsenal,PSG,6.0
Arsenal,Barça,1.0
Manchester City,Ajax,3.0
Villarreal,Bayern,7.0
Tottenham,Club Brugge,1.0
Barça,Qarabag,7.0
Union Saint-Gilloise,Arsenal,2.0
Real Madrid,Atalanta,4.0
Atalanta,Arsenal,7.0
Eintracht,Benfica,6.0
Chelsea,Eintracht,1.0
Tottenham,Napoli,4.0
Galatasaray,Juventus,2.0
Napoli,Sporting CP,2.0
Monaco,Villarreal,4.0
Olympiacos,Bayern,2.0
Qarabag,Benfica,2.0
Manchester City,Juventus,7.0
Atlético,Atalanta,1.0
PSV,Barça,4.0
Liverpool,Atlético,2.0
Leverkusen,PSV,1.0
Villarreal,Ajax,2.0
Juventus,Liverpool,6.0
Napoli,Monaco,1.0
Kairat Almaty,Manchester City,5.0
Slavia Prague,Glimt,5.0
Ajax,Olympiacos,5.0
PSV,Kairat Almaty,8.0
Barça,Union Saint-Gilloise,5.0
Inter,Bayern,4.0
Kairat Almaty,Slavia Prague,7.0
Atlético,Club Brugge,4.0
Slavia Prague,Olympiacos,4.0
Union Saint-Gilloise,Qarabag,4.0
Napoli,Club Brugge,7.0
Slavia Prague,Galatasaray,1.0
Union Saint-Gilloise,Sporting CP,6.0
Pafos,Club Brugge,5.0
Galatasaray,Villarreal,6.0
Villarreal,Tottenham,8.0
Galatasaray,Kairat Almaty,3.0
Benfica,Villarreal,1.0
Ajax,Eintracht,8.0
Villarreal,BVB,3.0
Bayern,Copenhagen,8.0
Athletic,PSG,8.0
Inter,Glimt,6.0
Inter,Tottenham,2.0
Juventus,Olympiacos,1.0
Marseille,Manchester City,1.0
Liverpool,Marseille,5.0
Juventus,Villarreal,5.0
Pafos,Marseille,3.0
Real Madrid,Leverkusen,8.0
Eintracht,Athletic,4.0
Inter,Benfica,7.0
Newcastle,Inter,1.0
Qarabag,PSG,1.0
Monaco,Inter,5.0
Benfica,Chelsea,4.0
Athletic,Benfica,5.0
Olympiacos,Pafos,7.0
Ajax,Newcastle,4.0
Eintracht,Inter,3.0
