Equip 1,Equip 2,Jornada
Galatasaray,Leverkusen,2.0
Newcastle,Marseille,3.0
Benfica,Napoli,8.0
Napoli,Manchester City,5.0
Barça,Leverkusen,7.0
Liverpool,Eintracht,7.0
Manchester City,Qarabag,7.0
Leverkusen,Arsenal,3.0
Monaco,Bayern,5.0
Bayern,Club Brugge,8.0
PSV,Atalanta,5.0
Qarabag,Liverpool,5.0
Chelsea,Real Madrid,7.0
Olympiacos,Leverkusen,1.0
Union Saint-Gilloise,Slavia Prague,7.0
Napoli,Olympiacos,3.0
Barça,Napoli,4.0
Slavia Prague,Olympiacos,5.0
Athletic,Glimt,4.0
Liverpool,Slavia Prague,1.0
Club Brugge,Tottenham,5.0
Newcastle,Pafos,7.0
Copenhagen,Qarabag,8.0
Marseille,Arsenal,1.0
Villarreal,Benfica,4.0
Bayern,Manchester City,3.0
Sporting CP,Tottenham,6.0
Real Madrid,Atalanta,3.0
Atalanta,Barça,6.0
Real Madrid,Marseille,5.0
PSV,Real Madrid,6.0
PSG,Olympiacos,4.0
Kairat Almaty,Glimt,1.0
Copenhagen,Union Saint-Gilloise,1.0
Pafos,Inter,8.0
Athletic,Inter,6.0
Kairat Almaty,Athletic,5.0
Galatasaray,Pafos,1.0
Marseille,Slavia Prague,2.0
Union Saint-Gilloise,BVB,8.0
Chelsea,Club Brugge,4.0
Real Madrid,Bayern,2.0
Inter,Liverpool,2.0
Ajax,Juventus,7.0
Qarabag,Juventus,3.0
Liverpool,Union Saint-Gilloise,6.0
Arsenal,PSV,7.0
Eintracht,Inter,1.0
Ajax,Benfica,1.0
Galatasaray,Real Madrid,8.0
Slavia Prague,Villarreal,8.0
Arsenal,Atalanta,2.0
Manchester City,Slavia Prague,6.0
PSG,Atlético,1.0
Arsenal,PSG,5.0
Qarabag,Ajax,4.0
Slavia Prague,Club Brugge,3.0
Eintracht,Olympiacos,6.0
Pafos,Benfica,3.0
Kairat Almaty,PSG,7.0
Athletic,Arsenal,8.0
Atalanta,Newcastle,8.0
Olympiacos,Kairat Almaty,2.0
Ajax,Pafos,2.0
Bayern,Tottenham,1.0
Villarreal,Monaco,3.0
Barça,PSG,3.0
Villarreal,Chelsea,2.0
Athletic,BVB,7.0
Napoli,Villarreal,7.0
Tottenham,Copenhagen,4.0
Sporting CP,Qarabag,1.0
Pafos,PSV,4.0
Copenhagen,Barça,5.0
Tottenham,Ajax,8.0
Sporting CP,Liverpool,3.0
BVB,Ajax,3.0
PSV,Barça,2.0
Newcastle,Galatasaray,5.0
PSG,Galatasaray,6.0
Leverkusen,Manchester City,4.0
Tottenham,Athletic,3.0
Qarabag,Athletic,2.0
Real Madrid,Newcastle,4.0
Barça,Newcastle,1.0
Atalanta,Eintracht,4.0
Monaco,Sporting CP,7.0
Olympiacos,Copenhagen,7.0
Union Saint-Gilloise,Monaco,4.0
Kairat Almaty,Monaco,8.0
Inter,Glimt,3.0
Benfica,Eintracht,2.0
Chelsea,Kairat Almaty,3.0
Olympiacos,Chelsea,8.0
Inter,Tottenham,7.0
PSG,Sporting CP,2.0
Marseille,Bayern,4.0
Ajax,Chelsea,5.0
Glimt,Atalanta,7.0
Manchester City,Barça,8.0
Galatasaray,Atlético,3.0
Club Brugge,Juventus,6.0
Arsenal,Kairat Almaty,4.0
Juventus,Pafos,5.0
Villarreal,Qarabag,6.0
Club Brugge,Copenhagen,2.0
Juventus,Liverpool,4.0
Eintracht,Union Saint-Gilloise,5.0
Union Saint-Gilloise,PSV,3.0
Benfica,Newcastle,6.0
Eintracht,Copenhagen,3.0
Copenhagen,Chelsea,6.0
Inter,BVB,4.0
Leverkusen,Villarreal,5.0
Manchester City,Villarreal,1.0
Newcastle,Napoli,2.0
Atlético,Marseille,6.0
Bayern,Benfica,7.0
Atlético,Club Brugge,7.0
PSV,Marseille,8.0
Liverpool,PSG,8.0
BVB,Arsenal,6.0
Marseille,Galatasaray,7.0
Glimt,Sporting CP,5.0
Atlético,Union Saint-Gilloise,2.0
Pafos,Bayern,6.0
BVB,Atlético,5.0
Leverkusen,Kairat Almaty,6.0
Tottenham,Juventus,2.0
Juventus,Atlético,8.0
Atalanta,Monaco,1.0
Monaco,Napoli,6.0
Glimt,Ajax,6.0
Atlético,Sporting CP,4.0
Napoli,PSV,1.0
Club Brugge,Athletic,1.0
Benfica,Inter,5.0
Sporting CP,Leverkusen,8.0
Juventus,Real Madrid,1.0
BVB,Glimt,2.0
Monaco,Manchester City,2.0
Chelsea,BVB,1.0
Glimt,Eintracht,8.0
Slavia Prague,Galatasaray,4.0
