Equip 1,Equip 2,Jornada
Galatasaray,Union Saint-Gilloise,1.0
Arsenal,Club Brugge,5.0
Manchester City,Atlético,4.0
PSV,Monaco,5.0
Pafos,Newcastle,8.0
Eintracht,Benfica,2.0
Arsenal,Copenhagen,3.0
Union Saint-Gilloise,Bayern,3.0
BVB,Athletic,3.0
Marseille,Galatasaray,6.0
Marseille,Atalanta,4.0
Marseille,Club Brugge,1.0
Club Brugge,Qarabag,3.0
Real Madrid,Liverpool,7.0
Slavia Prague,Sporting CP,3.0
PSG,BVB,4.0
Real Madrid,Eintracht,8.0
Manchester City,Villarreal,8.0
Glimt,Real Madrid,2.0
Athletic,PSG,1.0
Villarreal,Galatasaray,3.0
Leverkusen,Benfica,5.0
Ajax,Monaco,1.0
Benfica,Pafos,1.0
Chelsea,Sporting CP,5.0
Juventus,Union Saint-Gilloise,5.0
Monaco,Chelsea,3.0
Union Saint-Gilloise,Qarabag,8.0
Olympiacos,Manchester City,1.0
Olympiacos,Eintracht,3.0
Olympiacos,Qarabag,5.0
Slavia Prague,Galatasaray,8.0
PSV,Liverpool,2.0
Ajax,Villarreal,5.0
Galatasaray,Copenhagen,4.0
BVB,Arsenal,7.0
Inter,Barça,2.0
Inter,Newcastle,5.0
PSG,Napoli,2.0
Tottenham,Benfica,6.0
Monaco,BVB,2.0
Union Saint-Gilloise,Glimt,4.0
Galatasaray,Manchester City,5.0
Qarabag,Bayern,1.0
Atalanta,Athletic,5.0
Copenhagen,Real Madrid,1.0
Atlético,Napoli,3.0
Villarreal,Sporting CP,7.0
Juventus,Atlético,1.0
Bayern,Slavia Prague,5.0
Qarabag,Manchester City,2.0
Galatasaray,Chelsea,7.0
Monaco,Kairat Almaty,8.0
Tottenham,Napoli,1.0
Slavia Prague,Leverkusen,6.0
Villarreal,Qarabag,6.0
PSV,Benfica,4.0
Atalanta,Club Brugge,7.0
Atalanta,PSV,8.0
Ajax,Olympiacos,6.0
BVB,Manchester City,6.0
PSV,Copenhagen,6.0
Liverpool,Villarreal,1.0
Barça,Chelsea,8.0
Real Madrid,Bayern,6.0
PSG,Tottenham,3.0
Juventus,Kairat Almaty,2.0
Bayern,Chelsea,4.0
Inter,Leverkusen,4.0
Glimt,Juventus,3.0
Eintracht,Glimt,5.0
Chelsea,Atalanta,1.0
Monaco,Eintracht,4.0
Atlético,Tottenham,8.0
Ajax,Slavia Prague,7.0
Tottenham,Real Madrid,4.0
Benfica,Real Madrid,3.0
Marseille,Glimt,8.0
Eintracht,Inter,6.0
Inter,Ajax,3.0
Napoli,Arsenal,4.0
Chelsea,Olympiacos,2.0
Newcastle,Eintracht,1.0
Athletic,Ajax,8.0
Newcastle,Athletic,4.0
Olympiacos,Napoli,7.0
Athletic,Kairat Almaty,6.0
Juventus,Bayern,7.0
Liverpool,Juventus,8.0
Copenhagen,Liverpool,5.0
Qarabag,Pafos,7.0
Manchester City,Inter,7.0
Barça,Marseille,7.0
Tottenham,Marseille,5.0
Benfica,PSG,8.0
Napoli,BVB,5.0
Newcastle,Leverkusen,7.0
Copenhagen,Monaco,7.0
Glimt,Newcastle,6.0
BVB,Glimt,1.0
Slavia Prague,Pafos,2.0
Club Brugge,BVB,8.0
Kairat Almaty,Inter,1.0
Atlético,Monaco,6.0
Benfica,Athletic,7.0
Napoli,Pafos,6.0
Barça,Atalanta,6.0
Atalanta,Arsenal,2.0
Qarabag,Sporting CP,4.0
Athletic,Marseille,2.0
Arsenal,Union Saint-Gilloise,6.0
Kairat Almaty,Tottenham,7.0
Club Brugge,Ajax,4.0
Kairat Almaty,Olympiacos,4.0
Sporting CP,Newcastle,2.0
Leverkusen,Barça,1.0
Liverpool,PSG,6.0
Real Madrid,Kairat Almaty,5.0
Villarreal,Juventus,4.0
Bayern,Ajax,2.0
Union Saint-Gilloise,Tottenham,2.0
Glimt,PSV,7.0
Pafos,Barça,5.0
Bayern,Arsenal,8.0
PSG,Union Saint-Gilloise,7.0
Eintracht,Atlético,7.0
Sporting CP,Inter,8.0
Pafos,Liverpool,4.0
Barça,Slavia Prague,4.0
Leverkusen,Villarreal,2.0
Atlético,PSG,5.0
Chelsea,Club Brugge,6.0
Napoli,Copenhagen,8.0
Sporting CP,PSV,1.0
Leverkusen,Olympiacos,8.0
Club Brugge,Galatasaray,2.0
Arsenal,Slavia Prague,1.0
Copenhagen,Atlético,2.0
Kairat Almaty,Leverkusen,3.0
Liverpool,Marseille,3.0
Pafos,Atalanta,3.0
Sporting CP,Juventus,6.0
Newcastle,Barça,3.0
Manchester City,PSV,3.0
